grouping,sort,section,units,grade,level_achieved,year,value
Pacific Islander,E6,Standardized_Scores,score,All,Failing,1999,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2000,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2001,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2002,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2003,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2004,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2005,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2006,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2007,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2008,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2009,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2010,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2011,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2012,19
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2013,21
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2014,30
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2015,24
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2016,33
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2017,21
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2018,18
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2019,24
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2020,NA
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2021,19
Pacific Islander,E6,Standardized_Scores,score,All,Failing,2022,26
2 or More Races,E7,Standardized_Scores,score,All,Failing,1995,50
2 or More Races,E7,Standardized_Scores,score,All,Failing,1996,30
2 or More Races,E7,Standardized_Scores,score,All,Failing,1997,16
2 or More Races,E7,Standardized_Scores,score,All,Failing,1998,21.2
2 or More Races,E7,Standardized_Scores,score,All,Failing,1999,18.9
2 or More Races,E7,Standardized_Scores,score,All,Failing,2000,10.5
2 or More Races,E7,Standardized_Scores,score,All,Failing,2001,5.3
2 or More Races,E7,Standardized_Scores,score,All,Failing,2002,3.3
2 or More Races,E7,Standardized_Scores,score,All,Failing,2003,22.5
2 or More Races,E7,Standardized_Scores,score,All,Failing,2004,19
2 or More Races,E7,Standardized_Scores,score,All,Failing,2005,19
2 or More Races,E7,Standardized_Scores,score,All,Failing,2006,16
2 or More Races,E7,Standardized_Scores,score,All,Failing,2007,18
2 or More Races,E7,Standardized_Scores,score,All,Failing,2008,16
2 or More Races,E7,Standardized_Scores,score,All,Failing,2009,15
2 or More Races,E7,Standardized_Scores,score,All,Failing,2010,11
2 or More Races,E7,Standardized_Scores,score,All,Failing,2011,14
2 or More Races,E7,Standardized_Scores,score,All,Failing,2012,14
2 or More Races,E7,Standardized_Scores,score,All,Failing,2013,12
2 or More Races,E7,Standardized_Scores,score,All,Failing,2014,13
2 or More Races,E7,Standardized_Scores,score,All,Failing,2015,11
2 or More Races,E7,Standardized_Scores,score,All,Failing,2016,13
2 or More Races,E7,Standardized_Scores,score,All,Failing,2017,14
2 or More Races,E7,Standardized_Scores,score,All,Failing,2018,12
2 or More Races,E7,Standardized_Scores,score,All,Failing,2019,15
2 or More Races,E7,Standardized_Scores,score,All,Failing,2020,NA
2 or More Races,E7,Standardized_Scores,score,All,Failing,2021,18
2 or More Races,E7,Standardized_Scores,score,All,Failing,2022,17
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,1995,53
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,1996,47.5
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,1997,40.1
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,1998,32.1
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,1999,35.6
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2000,30.5
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2001,23.8
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2002,18
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2003,40.2
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2004,35
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2005,44
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2006,33
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2007,33
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2008,33
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2009,30
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2010,29
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2011,28
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2012,26
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2013,26
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2014,25
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2015,26
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2016,27
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2017,24
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2018,25
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2019,26
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2020,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2021,33
Economically Disadvantaged,O1,Standardized_Scores,score,All,Failing,2022,30
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,1995,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,1996,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,1997,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,1998,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,1999,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2000,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2001,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2002,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2003,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2004,82
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2005,73
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2006,73
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2007,75
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2008,95
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2009,91
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2010,95
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2011,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2012,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2013,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2014,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2015,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2016,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2017,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2018,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2019,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2020,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2021,NA
SDAA Met ARD,O2,Standardized_Scores,score,All,Failing,2022,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,1995,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,1996,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,1997,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,1998,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,1999,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2000,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2001,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2002,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2003,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2004,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2005,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2006,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2007,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2008,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2009,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2010,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2011,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2012,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2013,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2014,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2015,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2016,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2017,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2018,58
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2019,58
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2020,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2021,52
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above,2022,53
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,1995,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,1996,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,1997,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,1998,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,1999,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2000,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2001,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2002,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2003,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2004,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2005,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2006,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2007,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2008,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2009,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2010,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2011,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2012,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2013,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2014,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2015,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2016,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2017,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2018,55
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2019,54
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2020,NA
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2021,52
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above,2022,55
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,1995,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,1996,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,1997,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,1998,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,1999,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2000,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2001,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2002,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2003,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2004,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2005,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2006,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2007,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2008,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2009,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2010,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2011,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2012,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2013,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2014,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2015,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2016,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2017,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2018,46
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2019,38
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2020,NA
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above,2021,30
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,1995,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,1996,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,1997,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,1998,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,1999,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2000,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2001,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2002,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2003,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2004,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2005,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2006,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2007,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2008,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2009,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2010,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2011,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2012,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2013,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2014,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2015,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2016,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2017,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2018,61
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2019,62
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2020,NA
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2021,50
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above,2022,48
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,1995,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,1996,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,1997,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,1998,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,1999,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2000,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2001,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2002,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2003,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2004,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2005,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2006,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2007,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2008,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2009,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2010,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2011,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2012,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2013,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2014,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2015,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2016,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2017,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2018,61
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2019,63
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2020,NA
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2021,60
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above,2022,58
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,1995,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,1996,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,1997,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,1998,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,1999,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2000,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2001,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2002,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2003,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2004,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2005,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2006,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2007,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2008,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2009,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2010,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2011,NA
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above,2012,NA
